PRED_NRM_P_GEN_MIN,PRED_NRM_P_GEN_MAX
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.015555556,0.288888889
0.24,0.642222222
0.075555556,0.502222222
0.075555556,0.548888889
0.386666667,0.322222222
0.028888889,0.117777778
0.0,0.077777778
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.02
0.028888889,0.053333333
0.153333333,0.297777778
0.075555556,0.628888889
0.182222222,0.58
0.093333333,0.544444444
0.1,0.08
0.004444444,0.093333333
0.024444444,0.037777778
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.008888889,0.0
0.017777778,0.128888889
0.117777778,0.193333333
0.133333333,0.24
0.044444444,0.422222222
0.117777778,0.093333333
0.08,0.166666667
0.0,0.077777778
0.024444444,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.044444444,0.348888889
0.048888889,0.248888889
0.002222222,0.624444444
0.102222222,0.271111111
0.051111111,0.226666667
0.06,0.173333333
0.062222222,0.248888889
0.033333333,0.008888889
0.0,0.004444444
0.0,0.017777778
0.0,0.017777778
0.0,0.0
0.0,0.0
0.0,0.017777778
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.004444444
0.004444444,0.395555556
0.06,0.34
0.06,0.34
0.06,0.34
0.022222222,0.395555556
0.0,0.02
0.002222222,0.0
0.0,0.046666667
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.017777778
0.0,0.017777778
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.011111111
0.006666667,0.068888889
