Block,Date,Time,TempOut,OutHum,WindSpeed,Bar,SolarRad,P_GEN_MIN,P_GEN_MAX
1,08/01/2014,00:00:00,8,91,4,750.8,0,-0.005,-0.005
2,08/01/2014,01:00:00,7.5,93,3,750.9,0,-0.006,-0.005
3,08/01/2014,02:00:00,7.2,93,2,752,0,-0.006,-0.005
4,08/01/2014,03:00:00,7.1,91,3,752.4,0,-0.006,-0.005
5,08/01/2014,04:00:00,7.4,92,3,753.1,0,-0.006,-0.005
6,08/01/2014,05:00:00,7.7,92,2,753.3,0,-0.006,-0.005
7,08/01/2014,06:00:00,8.1,91,2,753.8,0,-0.005,-0.005
8,08/01/2014,07:00:00,8.2,92,2,753.9,0,-0.005,-0.005
9,08/01/2014,08:00:00,8.4,92,3,754.2,1,-0.005,-0.005
10,08/01/2014,09:00:00,8.8,91,2,755.1,34,-0.004,0.019
11,08/01/2014,10:00:00,9.8,88,3,755.4,111,0.009,0.106
12,08/01/2014,11:00:00,10.1,87,3,755.5,76,0.009,0.178
13,08/01/2014,12:00:00,10.3,85,2,755.5,103,0.004,0.061
14,08/01/2014,13:00:00,10.8,83,3,755,165,0.024,0.098
15,08/01/2014,14:00:00,9.8,85,3,754.9,84,0.023,0.058
16,08/01/2014,15:00:00,9.4,87,2,754.5,51,0.007,0.025
17,08/01/2014,16:00:00,9.2,89,3,754.2,9,-0.006,0.007
18,08/01/2014,17:00:00,8.8,91,4,753.5,0,-0.005,-0.005
19,08/01/2014,18:00:00,8.5,93,6,752.9,0,-0.005,-0.005
20,08/01/2014,19:00:00,8.7,92,6,752.6,0,-0.005,-0.005
21,08/01/2014,20:00:00,9.2,92,8,751.5,0,-0.005,-0.005
22,08/01/2014,21:00:00,9.7,94,5,751.1,0,-0.005,-0.005
23,08/01/2014,22:00:00,10.6,93,5,750.3,0,-0.005,-0.005
24,08/01/2014,23:00:00,10.7,95,4,749.7,0,-0.005,-0.005
1,09/01/2014,00:00:00,10.8,95,4,748.9,0,-0.005,-0.005
