,Block,Date,Time,TempOut,OutHum,WindSpeed,Bar,SolarRad,P_GEN_MIN,P_GEN_MAX
0,1,10/12/2013,12:00 AM,4.1,95.0,0.0,770.4,0.0,0.002,0.002
1,2,10/12/2013,1:00 AM,4.1,95.0,0.0,770.4,0.0,0.002,0.002
2,3,10/12/2013,2:00 AM,3.8,95.0,0.0,770.7,0.0,0.002,0.002
3,4,10/12/2013,3:00 AM,3.6,95.0,0.0,770.7,0.0,0.002,0.002
4,5,10/12/2013,4:00 AM,3.4,95.0,0.0,770.5,0.0,0.002,0.002
5,6,10/12/2013,5:00 AM,3.3,95.0,0.0,770.6,0.0,0.002,0.002
6,7,10/12/2013,6:00 AM,3.3,94.0,0.0,770.6,0.0,0.002,0.002
7,8,10/12/2013,7:00 AM,2.8,94.0,0.0,770.8,0.0,0.002,0.002
8,9,10/12/2013,8:00 AM,2.4,95.0,0.0,771.0,2.0,0.002,0.002
9,10,10/12/2013,9:00 AM,2.8,94.0,0.0,771.6,35.0,0.045,0.002
10,11,10/12/2013,10:00 AM,3.3,95.0,0.0,771.7,75.0,0.22145530234433103,0.12515402653268914
11,12,10/12/2013,11:00 AM,4.4,97.0,0.0,771.6,117.0,0.414,0.26
12,13,10/12/2013,12:00 PM,5.6,93.0,0.0,771.6,150.0,0.484,0.273
13,14,10/12/2013,1:00 PM,6.9,89.0,1.0,771.4,181.0,0.39,0.189
14,15,10/12/2013,2:00 PM,7.6,89.0,1.0,771.3,115.0,0.187,0.163
15,16,10/12/2013,3:00 PM,7.7,88.0,0.0,771.5,39.0,0.167,0.077
16,17,10/12/2013,4:00 PM,5.9,93.0,0.0,771.5,3.0,0.068,0.002
17,18,10/12/2013,5:00 PM,5.2,94.0,1.0,771.7,0.0,0.002,0.002
18,19,10/12/2013,6:00 PM,5.1,94.0,0.0,771.7,0.0,0.002,0.002
19,20,10/12/2013,7:00 PM,5.7,93.0,1.0,771.7,0.0,0.002,0.002
20,21,10/12/2013,8:00 PM,5.4,93.0,0.0,771.7,0.0,0.002,0.002
21,22,10/12/2013,9:00 PM,4.2,93.0,0.0,771.6,0.0,0.002,0.002
22,23,10/12/2013,10:00 PM,3.7,95.0,0.0,771.8,0.0,0.002,0.002
23,24,10/12/2013,11:00 PM,4.1,96.0,0.0,771.7,0.0,0.002,0.002
24,1,11/12/2013,12:00 AM,4.0,95.0,0.0,771.5,0.0,0.002,0.002
25,2,11/12/2013,1:00 AM,3.5,95.0,0.0,771.5,0.0,0.002,0.002
26,3,11/12/2013,2:00 AM,3.1,93.0,0.0,771.2,0.0,0.002,0.002
27,4,11/12/2013,3:00 AM,2.7,93.0,0.0,771.2,0.0,0.002,0.002
28,5,11/12/2013,4:00 AM,2.8,92.0,0.0,770.9,0.0,0.002,0.002
29,6,11/12/2013,5:00 AM,2.2,91.0,0.0,770.6,0.0,0.002,0.002
30,7,11/12/2013,6:00 AM,1.7,93.0,0.0,770.5,0.0,0.002,0.002
31,8,11/12/2013,7:00 AM,1.2,92.0,0.0,770.3,0.0,0.002,0.002
32,9,11/12/2013,8:00 AM,1.1,90.0,0.0,770.3,2.0,0.002,0.002
33,10,11/12/2013,9:00 AM,0.6,93.0,0.0,770.6,22.0,0.24,0.002
34,11,11/12/2013,10:00 AM,3.0,93.0,0.0,770.7,46.0,0.468,0.247
35,12,11/12/2013,11:00 AM,6.4,89.0,0.0,770.5,113.0,0.627,0.334
36,13,11/12/2013,12:00 PM,7.9,85.0,1.0,770.1,224.0,0.688,0.633
37,14,11/12/2013,1:00 PM,8.7,83.0,1.0,769.6,199.0,0.694,0.64
38,15,11/12/2013,2:00 PM,9.2,79.0,1.0,769.5,113.0,0.696,0.616
39,16,11/12/2013,3:00 PM,7.3,83.0,0.0,769.4,28.0,0.629,0.221
40,17,11/12/2013,4:00 PM,5.8,85.0,0.0,769.1,1.0,0.223,0.002
41,18,11/12/2013,5:00 PM,4.3,88.0,0.0,769.0,0.0,0.002,0.002
42,19,11/12/2013,6:00 PM,4.3,89.0,0.0,768.8,0.0,0.002,0.002
43,20,11/12/2013,7:00 PM,4.8,84.0,0.0,768.9,0.0,0.002,0.002
44,21,11/12/2013,8:00 PM,4.8,90.0,0.0,768.7,0.0,0.002,0.002
45,22,11/12/2013,9:00 PM,4.4,92.0,0.0,768.6,0.0,0.002,0.002
46,23,11/12/2013,10:00 PM,3.5,93.0,0.0,768.5,0.0,0.002,0.002
47,24,11/12/2013,11:00 PM,3.5,93.0,0.0,768.2,0.0,0.002,0.002
48,1,12/12/2013,12:00 AM,3.1,92.0,0.0,768.0,0.0,0.002,0.002
49,2,12/12/2013,1:00 AM,2.6,94.0,0.0,767.7,0.0,0.002,0.002
50,3,12/12/2013,2:00 AM,3.1,95.0,0.0,767.8,0.0,0.002,0.002
51,4,12/12/2013,3:00 AM,2.9,94.0,0.0,767.4,0.0,0.002,0.002
52,5,12/12/2013,4:00 AM,2.8,96.0,0.0,766.9,0.0,0.002,0.002
53,6,12/12/2013,5:00 AM,3.1,96.0,0.0,766.7,0.0,0.002,0.002
54,7,12/12/2013,6:00 AM,3.1,96.0,0.0,766.5,0.0,0.002,0.002
