,Block,Date,Time,TempOut,OutHum,WindSpeed,Bar,SolarRad,P_GEN_MIN,P_GEN_MAX
0,1,08/01/2014,00:00:00,8.0,91.0,4.0,750.8,0.0,-0.005,-0.005
1,2,08/01/2014,01:00:00,7.5,93.0,3.0,750.9,0.0,-0.006,-0.005
2,3,08/01/2014,02:00:00,7.2,93.0,2.0,752.0,0.0,-0.006,-0.005
3,4,08/01/2014,03:00:00,7.1,91.0,3.0,752.4,0.0,-0.006,-0.005
4,5,08/01/2014,04:00:00,7.4,92.0,3.0,753.1,0.0,-0.006,-0.005
5,6,08/01/2014,05:00:00,7.7,92.0,2.0,753.3,0.0,-0.006,-0.005
6,7,08/01/2014,06:00:00,8.1,91.0,2.0,753.8,0.0,-0.005,-0.005
7,8,08/01/2014,07:00:00,8.2,92.0,2.0,753.9,0.0,-0.005,-0.005
8,9,08/01/2014,08:00:00,8.4,92.0,3.0,754.2,1.0,-0.005,-0.005
9,10,08/01/2014,09:00:00,8.8,91.0,2.0,755.1,34.0,-0.004,0.019
10,11,08/01/2014,10:00:00,9.8,88.0,3.0,755.4,111.0,0.009,0.106
11,12,08/01/2014,11:00:00,10.1,87.0,3.0,755.5,76.0,0.009,0.178
12,13,08/01/2014,12:00:00,10.3,85.0,2.0,755.5,103.0,0.004,0.061
13,14,08/01/2014,13:00:00,10.8,83.0,3.0,755.0,165.0,0.024,0.098
14,15,08/01/2014,14:00:00,9.8,85.0,3.0,754.9,84.0,0.023,0.058
15,16,08/01/2014,15:00:00,9.4,87.0,2.0,754.5,51.0,0.007,0.025
16,17,08/01/2014,16:00:00,9.2,89.0,3.0,754.2,9.0,-0.006,0.007
17,18,08/01/2014,17:00:00,8.8,91.0,4.0,753.5,0.0,-0.005,-0.005
18,19,08/01/2014,18:00:00,8.5,93.0,6.0,752.9,0.0,-0.005,-0.005
19,20,08/01/2014,19:00:00,8.7,92.0,6.0,752.6,0.0,-0.005,-0.005
20,21,08/01/2014,20:00:00,9.2,92.0,8.0,751.5,0.0,-0.005,-0.005
21,22,08/01/2014,21:00:00,9.7,94.0,5.0,751.1,0.0,-0.005,-0.005
22,23,08/01/2014,22:00:00,10.6,93.0,5.0,750.3,0.0,-0.005,-0.005
23,24,08/01/2014,23:00:00,10.7,95.0,4.0,749.7,0.0,-0.005,-0.005
24,1,09/01/2014,00:00:00,10.8,95.0,4.0,748.9,0.0,-0.005,-0.005
25,2,09/01/2014,01:00:00,10.8,95.0,4.0,748.1,0.0,-0.006,-0.005
26,3,09/01/2014,02:00:00,10.8,94.0,5.0,747.1,0.0,-0.006,-0.005
27,4,09/01/2014,03:00:00,10.9,93.0,3.0,746.3,0.0,-0.006,-0.005
28,5,09/01/2014,04:00:00,11.4,89.0,6.0,745.6,0.0,-0.005,-0.005
